date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:51	18327/18327	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:08%20GMT	https://vuighe.net/aho-girl	E:/123wwed/12hay/vuighe.net/aho-girl.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:51	18969/18969	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:08%20GMT	https://vuighe.net/keppeki-danshi-aoyama-kun	E:/123wwed/12hay/vuighe.net/keppeki-danshi-aoyama-kun.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:51	18997/18997	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:08%20GMT	https://vuighe.net/centaur-no-nayami	E:/123wwed/12hay/vuighe.net/centaur-no-nayami.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:52	19073/19073	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:09%20GMT	https://vuighe.net/jigoku-shoujo-yoi-no-togi	E:/123wwed/12hay/vuighe.net/jigoku-shoujo-yoi-no-togi.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:52	19140/19140	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:09%20GMT	https://vuighe.net/musekinin-galaxy-tylor	E:/123wwed/12hay/vuighe.net/musekinin-galaxy-tylor.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:52	17101/17101	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:09%20GMT	https://vuighe.net/kaito-x-ansa	E:/123wwed/12hay/vuighe.net/kaito-x-ansa.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:52	19149/19149	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:09%20GMT	https://vuighe.net/battle-girl-high-school-battle-girl-project	E:/123wwed/12hay/vuighe.net/battle-girl-high-school-battle-girl-project.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:53	18329/18329	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:10%20GMT	https://vuighe.net/the-reflection	E:/123wwed/12hay/vuighe.net/the-reflection.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:53	0/-1	---M--	302	error ('')			https://vuighe.net/dang-nhap-facebook	E:/123wwed/12hay/vuighe.net/dang-nhap-facebook.66f.delayed	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:53	0/-1	---M--	302	error ('')			https://vuighe.net/dang-nhap-google	E:/123wwed/12hay/vuighe.net/dang-nhap-google.670.delayed	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:53	19209/19209	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:10%20GMT	https://vuighe.net/teekyuu	E:/123wwed/12hay/vuighe.net/teekyuu.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2017)
23:20:53	19295/19295	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:10%20GMT	https://vuighe.net/black-clover	E:/123wwed/12hay/vuighe.net/black-clover.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:53	18038/18038	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:11%20GMT	https://vuighe.net/dynamic-chord	E:/123wwed/12hay/vuighe.net/dynamic-chord.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:54	18828/18828	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:11%20GMT	https://vuighe.net/garo-vanishing-line	E:/123wwed/12hay/vuighe.net/garo-vanishing-line.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:54	19929/19929	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:11%20GMT	https://vuighe.net/classicaloid	E:/123wwed/12hay/vuighe.net/classicaloid.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:55	19250/19250	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:12%20GMT	https://vuighe.net/mahoutsukai-no-yome	E:/123wwed/12hay/vuighe.net/mahoutsukai-no-yome.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:55	20288/20288	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:12%20GMT	https://vuighe.net/3-gatsu-no-lion	E:/123wwed/12hay/vuighe.net/3-gatsu-no-lion.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:55	18227/18227	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:12%20GMT	https://vuighe.net/urahara	E:/123wwed/12hay/vuighe.net/urahara.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:55	18691/18691	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:13%20GMT	https://vuighe.net/animegataris	E:/123wwed/12hay/vuighe.net/animegataris.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:56	18662/18662	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:13%20GMT	https://vuighe.net/evil-or-live	E:/123wwed/12hay/vuighe.net/evil-or-live.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:56	19927/19927	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:13%20GMT	https://vuighe.net/love-live-sunshine	E:/123wwed/12hay/vuighe.net/love-live-sunshine.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:56	18591/18591	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:13%20GMT	https://vuighe.net/two-car	E:/123wwed/12hay/vuighe.net/two-car.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:56	18856/18856	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:14%20GMT	https://vuighe.net/just-because	E:/123wwed/12hay/vuighe.net/just-because.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:57	19694/19694	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:14%20GMT	https://vuighe.net/itsudatte-bokura-no-koi-wa-10-centi-datta	E:/123wwed/12hay/vuighe.net/itsudatte-bokura-no-koi-wa-10-centi-datta.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:57	18602/18602	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:14%20GMT	https://vuighe.net/osake-wa-fuufu-ni-natte-kara	E:/123wwed/12hay/vuighe.net/osake-wa-fuufu-ni-natte-kara.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:57	18844/18844	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:14%20GMT	https://vuighe.net/taishou-mebiusline-chicchai-san	E:/123wwed/12hay/vuighe.net/taishou-mebiusline-chicchai-san.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:57	19135/19135	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:14%20GMT	https://vuighe.net/kujira-no-kora-wa-sajou-ni-utau	E:/123wwed/12hay/vuighe.net/kujira-no-kora-wa-sajou-ni-utau.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:58	18846/18846	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:15%20GMT	https://vuighe.net/sengoku-night-blood	E:/123wwed/12hay/vuighe.net/sengoku-night-blood.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
23:20:58	19761/19761	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:19:15%20GMT	https://vuighe.net/himouto-umaru-chan	E:/123wwed/12hay/vuighe.net/himouto-umaru-chan.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2017)
